Charging Rate,Start Window,Result,SSE,SST
18.0,1.0,0.0,93.95000000000003,49.983333333333285
18.0,1.1,0.0,93.06666666666666,43.18333333333328
18.0,1.2,0.0,92.78333333333335,41.6333333333333
18.0,1.3,0.0,92.75000000000003,38.64999999999997
18.0,1.4,0.0,89.79999999999998,36.88333333333332
18.0,1.5,0.0,88.36666666666666,39.216666666666654
18.0,1.6,0.0,83.23333333333335,39.94999999999999
18.0,1.7000000000000002,0.0,81.81666666666666,40.93333333333332
18.0,1.8,0.0,73.4,45.29999999999998
18.0,1.9,0.0,65.88333333333334,50.18333333333332
18.0,2.0,0.0,62.4,53.36666666666667
18.0,2.1,0.0,51.58333333333333,62.94999999999999
18.0,2.2,0.0,46.16666666666667,64.59999999999998
18.0,2.3,0.0,41.75000000000001,69.55
18.0,2.4000000000000004,0.0,33.35,76.08333333333333
18.0,2.5,0.0,25.3,80.55
18.0,2.6,0.0,21.21666666666667,87.21666666666667
18.0,2.7,0.0,19.2,86.6
18.0,2.8,0.0,13.35,90.98333333333335
18.0,2.9000000000000004,0.0,5.8,95.55
18.0,3.0,0.0,6.4,95.85
18.0,3.1,0.0,4.4,96.35
18.0,3.2,0.0,4.6,97.4
18.0,3.3000000000000003,0.0,2.8,98.0
18.0,3.4000000000000004,0.0,2.6,99.2
18.0,3.5,0.0,2.2,98.6
18.0,3.6,0.0,0.2,100.0
18.0,3.7,0.0,0.8,99.2
18.0,3.8000000000000003,0.0,0.6,99.4
18.0,3.9000000000000004,0.0,0.4,99.8
18.0,4.0,0.0,0.2,100.0
18.0,4.1,0.0,0.0,100.0
18.0,4.2,0.0,0.0,100.0
18.0,4.300000000000001,0.0,0.0,100.0
18.0,4.4,0.0,0.0,100.0
18.0,4.5,0.0,0.2,100.0
18.0,4.6,0.0,0.0,100.0
18.0,4.7,0.0,0.0,100.0
18.0,4.800000000000001,0.0,0.0,100.0
18.0,4.9,0.0,0.0,100.0
18.0,5.0,0.0,0.0,100.0
18.0,5.1000000000000005,1.4,0.0,99.33333333333334
18.0,5.2,6.6,0.0,96.95555555555555
18.0,5.3,10.2,0.0,94.6
18.0,5.4,22.2,0.0,87.9555555555556
18.0,5.5,25.8,0.0,85.46666666666671
18.0,5.6000000000000005,45.0,0.0,74.31111111111126
18.0,5.7,50.0,0.0,70.6666666666668
18.0,5.800000000000001,65.4,0.0,60.93333333333353
18.0,5.9,75.0,0.0,53.800000000000296
18.0,6.0,81.0,0.0,49.62222222222256
18.0,6.1000000000000005,86.4,0.0,46.73333333333364
18.0,6.2,90.6,0.0,44.24444444444464
18.0,6.300000000000001,93.2,0.0,42.02222222222243
18.0,6.4,95.0,0.0,38.311111111111344
18.0,6.5,95.0,0.0,36.488888888889136
18.0,6.6000000000000005,96.0,0.0,36.15555555555575
18.0,6.7,98.2,0.0,34.133333333333546
18.0,6.800000000000001,99.0,0.0,32.62222222222238
18.0,6.9,98.8,0.0,31.911111111111296
18.0,7.0,97.6,0.0,32.511111111111305
18.0,7.1000000000000005,99.8,0.0,31.622222222222383
18.0,7.2,99.8,0.0,32.28888888888907
18.0,7.300000000000001,100.0,0.0,31.40000000000016
18.0,7.4,100.0,0.0,29.80000000000017
18.0,7.5,99.8,0.0,28.377777777777908
18.0,7.6000000000000005,99.8,0.0,28.711111111111244
18.0,7.7,100.0,0.0,28.244444444444582
18.0,7.800000000000001,100,0,0
18.0,7.9,100,0,0
18.0,8.0,100,0,0
18.0,8.100000000000001,100,0,0
18.0,8.2,100,0,0
18.0,8.3,100,0,0
18.0,8.4,100,0,0
18.0,8.5,100,0,0
18.0,8.600000000000001,100,0,0
18.0,8.7,100,0,0
18.0,8.8,100,0,0
18.0,8.9,100,0,0
18.0,9.0,100,0,0
18.0,9.1,100,0,0
18.0,9.200000000000001,100,0,0
18.0,9.3,100,0,0
18.0,9.4,100,0,0
18.0,9.5,100,0,0
18.0,9.6,100,0,0
18.0,9.700000000000001,100,0,0
18.0,9.8,100,0,0
18.0,9.9,100,0,0
18.0,10.0,100,0,0
18.0,10.1,100,0,0
18.0,10.200000000000001,100,0,0
18.0,10.3,100,0,0
18.0,10.4,100,0,0
18.0,10.5,100,0,0
18.0,10.600000000000001,100,0,0
18.0,10.700000000000001,100,0,0
18.0,10.8,100,0,0
18.0,10.9,100,0,0
18.0,11.0,100,0,0
18.0,11.100000000000001,100,0,0
18.0,11.200000000000001,100,0,0
18.0,11.3,100,0,0
18.0,11.4,100,0,0
18.0,11.5,100,0,0
18.0,11.600000000000001,100,0,0
18.0,11.700000000000001,100,0,0
18.0,11.8,100,0,0
18.0,11.9,100,0,0
18.0,12.0,100,0,0
18.0,12.100000000000001,100,0,0
18.0,12.200000000000001,100,0,0
18.0,12.3,100,0,0
18.0,12.4,100,0,0
18.0,12.5,100,0,0
18.0,12.600000000000001,100,0,0
18.0,12.700000000000001,100,0,0
18.0,12.8,100,0,0
18.0,12.9,100,0,0
18.0,13.0,100,0,0
18.0,13.100000000000001,100,0,0
18.0,13.200000000000001,100,0,0
18.0,13.3,100,0,0
18.0,13.4,100,0,0
18.0,13.5,100,0,0
18.0,13.600000000000001,100,0,0
18.0,13.700000000000001,100,0,0
18.0,13.8,100,0,0
18.0,13.9,100,0,0
18.0,14.0,100,0,0
18.0,14.100000000000001,100,0,0
18.0,14.200000000000001,100,0,0
18.0,14.3,100,0,0
18.0,14.4,100,0,0
18.0,14.5,100,0,0
18.0,14.600000000000001,100,0,0
18.0,14.700000000000001,100,0,0
18.0,14.8,100,0,0
18.0,14.9,100,0,0
18.0,15.0,100,0,0
18.0,15.100000000000001,100,0,0
18.0,15.200000000000001,100,0,0
18.0,15.3,100,0,0
18.0,15.4,100,0,0
18.0,15.5,100,0,0
18.0,15.600000000000001,100,0,0
18.0,15.700000000000001,100,0,0
18.0,15.8,100,0,0
18.0,15.9,100,0,0
18.0,16.0,100,0,0
18.0,16.1,100,0,0
18.0,16.200000000000003,100,0,0
18.0,16.3,100,0,0
