Charging Rate,Start Window,Result,SSE,SST
14.0,1.0,0.0,100.0,22.000000000000004
14.0,1.1,0.0,100.0,15.666666666666664
14.0,1.2,0.0,100.0,16.0
14.0,1.3,0.0,100.0,8.999999999999998
14.0,1.4,0.0,99.66666666666669,9.666666666666664
14.0,1.5,0.0,100.0,7.666666666666664
14.0,1.6,0.0,99.66666666666666,6.999999999999999
14.0,1.7000000000000002,0.0,100.0,2.333333333333333
14.0,1.8,0.0,100.0,3.0
14.0,1.9,0.0,100.0,1.9999999999999998
14.0,2.0,0.0,100.0,1.0
14.0,2.1,0.0,100.0,0.6666666666666665
14.0,2.2,0.0,100.0,0.33333333333333326
14.0,2.3,0.0,100.0,0.0
14.0,2.4000000000000004,0.0,100.0,0.0
14.0,2.5,0.0,100.0,0.0
14.0,2.6,0.0,100.0,0.0
14.0,2.7,0.0,100.0,0.0
14.0,2.8,0.0,100.0,0.0
14.0,2.9000000000000004,0.0,99.0,3.0
14.0,3.0,0.0,96.0,7.0
14.0,3.1,0.0,93.0,13.0
14.0,3.2,0.0,93.0,20.0
14.0,3.3000000000000003,0.0,91.0,11.0
14.0,3.4000000000000004,0.0,82.0,25.0
14.0,3.5,0.0,80.0,28.0
14.0,3.6,0.0,81.0,35.0
14.0,3.7,0.0,72.0,44.0
14.0,3.8000000000000003,0.0,66.0,44.0
14.0,3.9000000000000004,0.0,50.0,64.0
14.0,4.0,0.0,43.0,68.0
14.0,4.1,0.0,41.0,69.0
14.0,4.2,0.0,35.0,73.0
14.0,4.300000000000001,0.0,35.0,75.0
14.0,4.4,0.0,30.0,79.0
14.0,4.5,0.0,23.0,83.0
14.0,4.6,0.0,15.0,92.0
14.0,4.7,0.0,26.0,84.0
14.0,4.800000000000001,0.0,19.0,87.0
14.0,4.9,0.0,12.0,93.0
14.0,5.0,0.0,3.0,98.0
14.0,5.1000000000000005,9.0,11.0,81.44444444444446
14.0,5.2,23.0,15.0,62.88888888888891
14.0,5.3,28.0,20.0,54.888888888888886
14.0,5.4,30.0,24.0,47.66666666666668
14.0,5.5,47.0,12.0,41.777777777777786
14.0,5.6000000000000005,55.0,13.0,32.888888888888886
14.0,5.7,68.0,4.0,28.111111111111107
