Charging Rate,Start Window,Result,SSE,SST
21.0,1.0,0.0,99.0,22.91666666666667
21.0,1.1,0.0,99.0,17.916666666666668
21.0,1.2,0.0,100.0,8.833333333333332
21.0,1.3,0.0,100.0,7.833333333333332
21.0,1.4,0.0,100.0,5.25
21.0,1.5,0.0,100.0,3.583333333333334
21.0,1.6,0.0,100.0,1.25
21.0,1.7000000000000002,0.0,100.0,1.25
21.0,1.8,0.0,100.0,0.6666666666666665
21.0,1.9,0.0,100.0,0.0
21.0,2.0,0.0,100.0,0.0
21.0,2.1,0.0,98.0,2.0
21.0,2.2,0.0,97.0,3.0
21.0,2.3,3.0,92.0,5.0
21.0,2.4000000000000004,4.0,88.0,8.666666666666668
21.0,2.5,3.0,83.0,14.11111111111111
21.0,2.6,13.0,76.0,11.777777777777777
21.0,2.7,22.0,72.0,6.444444444444444
21.0,2.8,30.0,60.0,10.666666666666664
21.0,2.9000000000000004,46.0,51.0,3.333333333333334
21.0,3.0,45.0,50.0,5.333333333333334
21.0,3.1,62.0,38.0,0.0
21.0,3.2,69.0,30.0,1.0
21.0,3.3000000000000003,78.0,22.0,0.0
21.0,3.4000000000000004,78.0,22.0,0.0
21.0,3.5,91.0,9.0,0.0
21.0,3.6,96.0,4.0,0.0
21.0,3.7,90.0,10.0,0.0
21.0,3.8000000000000003,95.0,5.0,0.0
21.0,3.9000000000000004,98.0,2.0,0.0
21.0,4.0,99.0,1.0,0.0
21.0,4.1,99.0,1.0,0.0
21.0,4.2,100.0,0.0,0.0
21.0,4.300000000000001,99.0,1.0,0.0
21.0,4.4,99.0,1.0,0.0
21.0,4.5,100.0,0.0,0.0
21.0,4.6,99.0,1.0,0.0
21.0,4.7,100.0,0.0,0.0
21.0,4.800000000000001,100.0,0.0,0.0
21.0,4.9,100.0,0.0,0.0
21.0,5.0,100.0,0.0,0.0
21.0,5.1000000000000005,100.0,0.0,0.0
21.0,5.2,100.0,0.0,0.0
21.0,5.3,100.0,0.0,0.0
21.0,5.4,100.0,0.0,0.0
21.0,5.5,100.0,0.0,0.0
21.0,5.6000000000000005,100.0,0.0,0.0
21.0,5.7,100.0,0.0,0.0
21.0,5.800000000000001,100.0,0.0,0.0
21.0,5.9,100.0,0.0,0.0
21.0,6.0,100.0,0.0,0.0
21.0,6.1000000000000005,100.0,0.0,0.0
21.0,6.2,100.0,0.0,0.0
21.0,6.300000000000001,100.0,0.0,0.0
21.0,6.4,100.0,0.0,0.0
21.0,6.5,100.0,0.0,0.0
21.0,6.6000000000000005,100.0,0.0,0.0
21.0,6.7,100.0,0.0,0.0
21.0,6.800000000000001,100.0,0.0,0.0
21.0,6.9,100.0,0.0,0.0
21.0,7.0,100.0,0.0,0.0
21.0,7.1000000000000005,100.0,0.0,0.0
21.0,7.2,100.0,0.0,0.0
21.0,7.300000000000001,100.0,0.0,0.0
21.0,7.4,100.0,0.0,0.0
21.0,7.5,100.0,0.0,0.0
21.0,7.6000000000000005,100.0,0.0,0.0
21.0,7.7,100.0,0.0,0.0
21.0,7.800000000000001,100.0,0.0,0.0
21.0,7.9,100.0,0.0,0.0
21.0,8.0,100.0,0.0,0.0
21.0,8.100000000000001,100.0,0.0,0.0
21.0,8.2,100.0,0.0,0.0
21.0,8.3,100.0,0.0,0.0
