Charging Rate,Start Window,Result,SSE,SST
48.0,1.0,0.0,5.0,95.66666666666669
48.0,1.1,0.0,4.0,96.77777777777777
48.0,1.2,0.0,3.0,97.0
48.0,1.3,0.0,1.0,99.0
48.0,1.4,0.0,1.0,99.0
48.0,1.5,1.0,0.0,99.33333333333331
48.0,1.6,1.0,0.0,99.66666666666669
48.0,1.7000000000000002,13.0,0.0,88.33333333333331
48.0,1.8,30.0,0.0,71.66666666666667
48.0,1.9,40.0,0.0,62.33333333333334
48.0,2.0,64.0,0.0,37.66666666666667
48.0,2.1,72.0,0.0,31.555555555555557
48.0,2.2,84.0,0.0,16.88888888888889
48.0,2.3,91.0,0.0,11.000000000000002
48.0,2.4000000000000004,97.0,0.0,3.0
48.0,2.5,100.0,0.0,0.0
48.0,2.6,99.0,0.0,1.0
48.0,2.7,100.0,0.0,0.1111111111111111
48.0,2.8,100.0,0.0,0.0
48.0,2.9000000000000004,100.0,0.0,0.0
48.0,3.0,100.0,0.0,0.0
48.0,3.1,100.0,0.0,0.0
48.0,3.2,100.0,0.0,0.0
48.0,3.3000000000000003,100.0,0.0,0.0
48.0,3.4000000000000004,100.0,0.0,0.0
48.0,3.5,100.0,0.0,0.0
48.0,3.6,100.0,0.0,0.0
48.0,3.7,100.0,0.0,0.0
48.0,3.8000000000000003,100.0,0.0,0.0
48.0,3.9000000000000004,100.0,0.0,0.0
48.0,4.0,100.0,0.0,0.0
48.0,4.1,100.0,0.0,0.0
48.0,4.2,100.0,0.0,0.0
48.0,4.300000000000001,100.0,0.0,0.0
48.0,4.4,100.0,0.0,0.0
48.0,4.5,100.0,0.0,0.0
48.0,4.6,100.0,0.0,0.0
48.0,4.7,100.0,0.0,0.0
48.0,4.800000000000001,100.0,0.0,0.0
48.0,4.9,100.0,0.0,0.0
48.0,5.0,100.0,0.0,0.0
48.0,5.1000000000000005,100.0,0.0,0.0
48.0,5.2,100.0,0.0,0.0
48.0,5.3,100.0,0.0,0.0
48.0,5.4,100.0,0.0,0.0
48.0,5.5,100.0,0.0,0.0
48.0,5.6000000000000005,100.0,0.0,0.0
48.0,5.7,100.0,0.0,0.0
48.0,5.800000000000001,100.0,0.0,0.0
48.0,5.9,100.0,0.0,0.0
48.0,6.0,100.0,0.0,0.0
48.0,6.1000000000000005,100.0,0.0,0.0
48.0,6.2,100.0,0.0,0.0
48.0,6.300000000000001,100.0,0.0,0.0
48.0,6.4,100.0,0.0,0.0
48.0,6.5,100.0,0.0,0.0
48.0,6.6000000000000005,100.0,0.0,0.0
48.0,6.7,100.0,0.0,0.0
48.0,6.800000000000001,100.0,0.0,0.0
48.0,6.9,100.0,0.0,0.0
48.0,7.0,100.0,0.0,0.0
48.0,7.1000000000000005,100.0,0.0,0.0
48.0,7.2,100.0,0.0,0.0
48.0,7.300000000000001,100.0,0.0,0.0
48.0,7.4,100.0,0.0,0.0
48.0,7.5,100.0,0.0,0.0
48.0,7.6000000000000005,100.0,0.0,0.0
48.0,7.7,100.0,0.0,0.0
48.0,7.800000000000001,100.0,0.0,0.0
48.0,7.9,100.0,0.0,0.0
48.0,8.0,100.0,0.0,0.0
48.0,8.100000000000001,100.0,0.0,0.0
48.0,8.2,100.0,0.0,0.0
48.0,8.3,100.0,0.0,0.0
48.0,8.4,100.0,0.0,0.0
48.0,8.5,100.0,0.0,0.0
48.0,8.600000000000001,100.0,0.0,0.0
48.0,8.7,100.0,0.0,0.0
48.0,8.8,100.0,0.0,0.0
48.0,8.9,100.0,0.0,0.0
48.0,9.0,100.0,0.0,0.0
48.0,9.1,100,0,0
48.0,9.200000000000001,100,0,0
48.0,9.3,100,0,0
48.0,9.4,100,0,0
48.0,9.5,100,0,0
48.0,9.6,100,0,0
48.0,9.700000000000001,100,0,0
48.0,9.8,100,0,0
48.0,9.9,100,0,0
48.0,10.0,100,0,0
48.0,10.1,100,0,0
48.0,10.200000000000001,100,0,0
48.0,10.3,100,0,0
48.0,10.4,100,0,0
48.0,10.5,100,0,0
48.0,10.600000000000001,100,0,0
48.0,10.700000000000001,100,0,0
48.0,10.8,100,0,0
48.0,10.9,100,0,0
48.0,11.0,100,0,0
48.0,11.100000000000001,100,0,0
48.0,11.200000000000001,100,0,0
48.0,11.3,100,0,0
48.0,11.4,100,0,0
48.0,11.5,100,0,0
48.0,11.600000000000001,100,0,0
48.0,11.700000000000001,100,0,0
48.0,11.8,100,0,0
48.0,11.9,100,0,0
48.0,12.0,100,0,0
48.0,12.100000000000001,100,0,0
48.0,12.200000000000001,100,0,0
48.0,12.3,100,0,0
48.0,12.4,100,0,0
48.0,12.5,100,0,0
48.0,12.600000000000001,100,0,0
48.0,12.700000000000001,100,0,0
48.0,12.8,100,0,0
48.0,12.9,100,0,0
48.0,13.0,100,0,0
48.0,13.100000000000001,100,0,0
48.0,13.200000000000001,100,0,0
48.0,13.3,100,0,0
48.0,13.4,100,0,0
48.0,13.5,100,0,0
48.0,13.600000000000001,100,0,0
48.0,13.700000000000001,100,0,0
48.0,13.8,100,0,0
48.0,13.9,100,0,0
48.0,14.0,100,0,0
48.0,14.100000000000001,100,0,0
48.0,14.200000000000001,100,0,0
48.0,14.3,100,0,0
48.0,14.4,100,0,0
48.0,14.5,100,0,0
48.0,14.600000000000001,100,0,0
48.0,14.700000000000001,100,0,0
