Charging Rate,Start Window,Result,SSE,SST
33.0,1.0,0.0,87.0,63.66666666666666
33.0,1.1,0.0,78.0,66.0
33.0,1.2,0.0,75.0,63.111111111111114
33.0,1.3,0.0,56.0,73.66666666666667
33.0,1.4,0.0,44.0,80.44444444444446
33.0,1.5,0.0,38.0,81.22222222222221
33.0,1.6,0.0,28.0,87.88888888888893
33.0,1.7000000000000002,0.0,19.0,88.8888888888889
33.0,1.8,0.0,20.0,89.44444444444446
33.0,1.9,0.0,14.0,93.44444444444443
33.0,2.0,0.0,8.0,95.55555555555557
33.0,2.1,0.0,3.0,98.33333333333331
33.0,2.2,0.0,2.0,99.33333333333331
33.0,2.3,0.0,0.0,100.0
33.0,2.4000000000000004,0.0,0.0,100.0
33.0,2.5,0.0,0.0,100.0
33.0,2.6,0.0,1.0,99.11111111111111
33.0,2.7,0.0,0.0,100.0
33.0,2.8,0.0,0.0,100.0
33.0,2.9000000000000004,0.0,0.0,100.0
33.0,3.0,0.0,0.0,100.0
33.0,3.1,0.0,0.0,100.0
33.0,3.2,0.0,0.0,100.0
33.0,3.3000000000000003,0.0,0.0,100.0
33.0,3.4000000000000004,0.0,0.0,100.0
33.0,3.5,0.0,0.0,100.0
33.0,3.6,0.0,0.0,100.0
33.0,3.7,0.0,0.0,100.0
33.0,3.8000000000000003,0.0,0.0,100.0
33.0,3.9000000000000004,0.0,0.0,100.0
33.0,4.0,0.0,0.0,100.0
33.0,4.1,0.0,0.0,100.0
33.0,4.2,0.0,0.0,100.0
33.0,4.300000000000001,0.0,0.0,100.0
33.0,4.4,0.0,0.0,100.0
33.0,4.5,0.0,0.0,100.0
33.0,4.6,0.0,0.0,100.0
33.0,4.7,0.0,0.0,100.0
33.0,4.800000000000001,0.0,0.0,100.0
33.0,4.9,0.0,0.0,100.0
33.0,5.0,1.0,0.0,99.88888888888889
33.0,5.1000000000000005,0.0,0.0,100.0
33.0,5.2,7.0,0.0,98.88888888888887
33.0,5.3,5.0,0.0,99.33333333333331
33.0,5.4,11.0,0.0,98.33333333333331
33.0,5.5,9.0,0.0,98.66666666666663
33.0,5.6000000000000005,17.0,0.0,97.55555555555551
33.0,5.7,36.0,0.0,93.77777777777771
33.0,5.800000000000001,40.0,0.0,93.55555555555549
33.0,5.9,55.0,0.0,90.55555555555549
33.0,6.0,64.0,0.0,87.8888888888888
33.0,6.1000000000000005,67.0,0.0,88.66666666666657
33.0,6.2,75.0,0.0,87.22222222222211
33.0,6.300000000000001,81.0,0.0,85.44444444444433
33.0,6.4,82.0,0.0,84.77777777777766
33.0,6.5,85.0,0.0,83.11111111111103
33.0,6.6000000000000005,96.0,0.0,81.22222222222216
33.0,6.7,98.0,0.0,80.11111111111099
33.0,6.800000000000001,98.0,0.0,78.33333333333323
33.0,6.9,97.0,0.0,78.88888888888884
33.0,7.0,100.0,0.0,78.8888888888888
33.0,7.1000000000000005,99.0,0.0,78.66666666666657
33.0,7.2,99.0,0.0,78.55555555555547
33.0,7.300000000000001,100.0,0.0,76.22222222222219
33.0,7.4,100.0,0.0,78.66666666666656
33.0,7.5,100.0,0.0,74.88888888888883
33.0,7.6000000000000005,100.0,0.0,73.55555555555551
33.0,7.7,100.0,0.0,73.11111111111106
33.0,7.800000000000001,100.0,0.0,71.0
33.0,7.9,100.0,0.0,71.8888888888889
33.0,8.0,100.0,0.0,70.2222222222222
33.0,8.100000000000001,100.0,0.0,69.55555555555554
33.0,8.2,100.0,0.0,68.55555555555554
33.0,8.3,100.0,0.0,67.22222222222219
33.0,8.4,100.0,0.0,67.99999999999999
33.0,8.5,100.0,0.0,66.44444444444441
33.0,8.600000000000001,100.0,0.0,65.22222222222217
33.0,8.7,100.0,0.0,64.66666666666661
33.0,8.8,100.0,0.0,64.88888888888884
33.0,8.9,100,0,0
33.0,9.0,100,0,0
33.0,9.1,100,0,0
33.0,9.200000000000001,100,0,0
33.0,9.3,100,0,0
33.0,9.4,100,0,0
33.0,9.5,100,0,0
33.0,9.6,100,0,0
33.0,9.700000000000001,100,0,0
33.0,9.8,100,0,0
33.0,9.9,100,0,0
33.0,10.0,100,0,0
33.0,10.1,100,0,0
33.0,10.200000000000001,100,0,0
33.0,10.3,100,0,0
33.0,10.4,100,0,0
33.0,10.5,100,0,0
33.0,10.600000000000001,100,0,0
33.0,10.700000000000001,100,0,0
33.0,10.8,100,0,0
33.0,10.9,100,0,0
33.0,11.0,100,0,0
33.0,11.100000000000001,100,0,0
33.0,11.200000000000001,100,0,0
33.0,11.3,100,0,0
33.0,11.4,100,0,0
33.0,11.5,100,0,0
33.0,11.600000000000001,100,0,0
33.0,11.700000000000001,100,0,0
33.0,11.8,100,0,0
33.0,11.9,100,0,0
33.0,12.0,100,0,0
33.0,12.100000000000001,100,0,0
33.0,12.200000000000001,100,0,0
33.0,12.3,100,0,0
33.0,12.4,100,0,0
33.0,12.5,100,0,0
33.0,12.600000000000001,100,0,0
33.0,12.700000000000001,100,0,0
33.0,12.8,100,0,0
33.0,12.9,100,0,0
33.0,13.0,100,0,0
33.0,13.100000000000001,100,0,0
33.0,13.200000000000001,100,0,0
33.0,13.3,100,0,0
33.0,13.4,100,0,0
33.0,13.5,100,0,0
33.0,13.600000000000001,100,0,0
33.0,13.700000000000001,100,0,0
33.0,13.8,100,0,0
33.0,13.9,100,0,0
33.0,14.0,100,0,0
33.0,14.100000000000001,100,0,0
33.0,14.200000000000001,100,0,0
33.0,14.3,100,0,0
33.0,14.4,100,0,0
33.0,14.5,100,0,0
33.0,14.600000000000001,100,0,0
33.0,14.700000000000001,100,0,0
33.0,14.8,100,0,0
33.0,14.9,100,0,0
33.0,15.0,100,0,0
33.0,15.100000000000001,100,0,0
33.0,15.200000000000001,100,0,0
33.0,15.3,100,0,0
33.0,15.4,100,0,0
33.0,15.5,100,0,0
33.0,15.600000000000001,100,0,0
33.0,15.700000000000001,100,0,0
33.0,15.8,100,0,0
33.0,15.9,100,0,0
33.0,16.0,100,0,0
33.0,16.1,100,0,0
33.0,16.200000000000003,100,0,0
33.0,16.3,100,0,0
33.0,16.4,100,0,0
33.0,16.5,100,0,0
