charging_rate,suucess_rate
0.0,0.0
0.1,0.0
0.2,0.0
0.30000000000000004,0.0
0.4,0.0
0.5,0.0
0.6000000000000001,0.0
0.7000000000000001,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2000000000000002,0.0
1.3,0.0
1.4000000000000001,0.0
1.5,0.0
1.6,0.0
1.7000000000000002,0.0
1.8,0.0
1.9000000000000001,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,0.0
3.1,0.0
3.2,0.0
3.3,0.0
3.4000000000000004,0.0
3.5,0.0
3.6,0.0
3.7,0.0
3.8,0.0
3.9000000000000004,0.0
4.0,0.0
4.1,0.0
4.2,0.0
4.3,0.0
4.4,0.0
4.5,0.0
4.6,0.0
4.7,0.0
4.8,0.0
4.9,0.0
5.0,0.0
5.1,0.0
5.2,0.0
5.3,0.0
5.4,0.0
5.5,0.0
5.6,0.0
5.7,0.0
5.8,0.0
5.9,0.0
6.0,0.0
6.1,0.0
6.2,0.0
6.3,0.0
6.4,0.0
6.5,0.0
6.6,0.0
6.7,0.0
6.8,0.0
6.9,0.0
7.0,0.0
7.1,27.6
7.2,52.6
7.3,70.2
7.4,84.4
7.5,88.8
7.6,94.6
7.7,97.0
7.8,99.2
7.9,99.6
8.0,99.8
8.1,100.0
8.2,99.8
8.3,100.0
8.4,100.0
8.5,100.0
8.6,100.0
8.7,100.0
8.8,100.0
8.9,100.0
9.0,100.0
9.1,100.0
9.2,100.0
9.3,100.0
9.4,100.0
9.5,100.0
9.6,100.0
9.7,100.0
9.8,100.0
9.9,100.0
10.0,100.0
10.1,100.0
10.2,100.0
10.3,100.0
10.4,100.0
10.5,100.0
10.6,100.0
10.7,100.0
10.8,100.0
10.9,100.0
11.0,100.0
11.1,100.0
11.2,100.0
11.3,100.0
11.4,100.0
11.5,100.0
11.6,100.0
11.7,100.0
11.8,100.0
11.9,100.0
12.0,100.0
12.1,100.0
12.2,100.0
12.3,100.0
12.4,100.0
12.5,100.0
12.6,100.0
12.7,100.0
12.8,100.0
12.9,100.0
13.0,100.0
13.1,100.0
13.2,100.0
13.3,100.0
13.4,100.0
13.5,100.0
13.6,100.0
13.7,100.0
13.8,100.0
13.9,100.0
14.0,100.0
14.1,100.0
14.2,100.0
14.3,100.0
14.4,100.0
14.5,100.0
14.6,100.0
14.7,100.0
14.8,100.0
14.9,100.0
15.0,100.0
15.1,100.0
15.2,100.0
15.3,100.0
15.4,100.0
15.5,100.0
15.6,100.0
15.7,100.0
15.8,100.0
15.9,100.0
16.0,100.0
16.1,100.0
16.2,100.0
16.3,100.0
16.4,100.0
16.5,100.0
16.6,100.0
16.7,100.0
16.8,100.0
16.9,100.0
17.0,100.0
17.1,100.0
17.2,100.0
17.3,100.0
17.4,100.0
17.5,100.0
17.6,100.0
17.7,100.0
17.8,100.0
17.9,100.0
18.0,100.0
18.1,100.0
18.2,100.0
18.3,100.0
18.4,100.0
18.5,100.0
18.6,100.0
18.7,100.0
18.8,100.0
18.9,100.0
19.0,100.0
19.1,100.0
19.2,100.0
19.3,100.0
19.4,100.0
19.5,100.0
19.6,100.0
19.7,100.0
19.8,100.0
19.9,100.0
20.0,100.0
