charging_rate,suucess_rate
8.1,0
8.2,0
8.299999999999999,0
8.4,0
8.5,0
8.6,0
8.7,0
8.799999999999999,0
8.9,0
9.0,0
9.1,0
9.2,4.6
9.3,20.6
9.4,34.8
9.5,45.6
9.6,59.2
9.7,68.2
9.8,70.6
9.9,80.4
10.0,85.6
10.1,87.6
10.2,91.4
10.3,92.2
10.4,95.2
10.5,96.2
10.6,98.2
10.7,98.8
10.8,98.8
10.9,98.8
11.0,99.6
11.1,100.0
11.2,99.8
11.3,99.8
11.4,100.0
11.5,99.8
11.6,100.0
11.7,99.8
11.8,100.0
11.9,99.8
12.0,100.0
12.1,100
12.2,100
12.3,100
12.4,100
12.5,100
12.6,100
12.7,100
12.8,100
12.9,100
13.0,100
